"","bam.SRR_76_ngm_sorted.bam"
"AAC67038-1",596
"AAC67028-1",14767
"AAC67051-1",31425
"AAC67050-1",1936
"AAC67049-1",12227
"AAC67048-1",527
"AAC67047-1",679
"AAC67046-1",1949
"AAC67045-1",8005
"AAC67044-1",1504
"AAC67052-1",405
"AAC67043-1",365
"AAC67042-1",1440
"AAC67041-1",1487
"AAC67040-1",1799
"AAC67039-1",1765
"AAC67067-1",2445
"AAC67066-1",189
"EBG00001182589-1",249476
"EBG00001182614-1",351195
"AAC67063-1",1659
"AAC67061-1",6241
"AAC67060-1",1383
"EBG00001182618-1",33525
"AAC67064-1",1478
"AAC67059-1",7566
"AAC67058-1",590
"AAC67057-1",219
"AAC67056-1",707
"AAC67055-1",717
"AAC67075-1",150
"AAC67077-1",810
"AAC67072-1",2532
"AAC67071-1",1273
"AAC67070-1",6461
"AAC67069-1",1780
"AAC67068-1",2865
"AAC67084-1",1215
"AAC67083-1",128
"AAC67082-1",2844
"AAC67086-1",933
"AAC67081-1",1307
"AAC67080-1",6253
"AAC67079-1",459
"AAC67078-1",2252
"AAC67093-1",230
"AAC67092-1",4627
"AAC67091-1",2809
"AAC67095-1",878
"AAC67090-1",10385
"EBG00001182576-1",333218
"EBG00001182617-1",1155545
"AAC67089-1",552
"AAC67088-1",325
"AAC67087-1",749
"AAC67094-1",860
"AAC67108-1",5319
"AAC67106-1",572
"AAC67099-1",767
"AAC67098-1",809
"AAC67104-1",327
"AAC67097-1",2268
"AAC67103-1",318
"EBG00001182598-1",478712
"AAC67102-1",2145
"AAC67101-1",426
"AAC67115-1",298
"AAC67118-1",301
"AAC67114-1",45
"AAC67113-1",128
"AAC67112-1",830
"AAC67111-1",400
"AAC67110-1",549
"AAC67109-1",307
"AET25121-1",328
"AAC67133-1",955
"AAC67138-1",63
"AAC67132-1",1377
"AAC67131-1",4092
"AAC67137-1",3123
"AAC67130-1",1090
"AAC67129-1",4303
"AAC67136-1",931
"AAC67128-1",575
"AAC67127-1",1657
"AAC67126-1",393
"AAC67135-1",540
"AAC67125-1",184
"AAC67124-1",5280
"EBG00001182601-1",815907
"AAC67123-1",8709
"AAC67122-1",2794
"AAC67121-1",2030
"AAC67120-1",27937
"AAC67134-1",1225
"AAC67141-1",1000
"AAC67144-1",272
"AAC67140-1",289
"AAC67139-1",4761
"AAC67142-1",527
"AAC67157-1",4829
"AAC67156-1",467
"AAC67155-1",1221
"AAC67154-1",4427
"AAC67153-1",6562
